trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
747,False,"{'a': 0.6, 'e': 1.7920857907309738e-06}",20,5,21.90611039132018,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.6, 'e': 1.787297320483857e-06}",20,13,16.563485150679043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.6, 'e': 1.7825280168841053e-06}",20,3,31.318368256285318,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.6, 'e': 1.7777777777777777e-06}",20,0,28.054118383862626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
751,False,"{'a': 0.6, 'e': 1.7730465016905998e-06}",20,9,21.264674580135132,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.6, 'e': 1.7683340878225441e-06}",20,8,24.12446090176347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.6, 'e': 1.7636404360424614e-06}",30,18,23.00531866174677,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.6, 'e': 1.7589654468827615e-06}",20,10,18.772535912990705,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.6, 'e': 1.7543090215341433e-06}",25,19,8.492597003813477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.6, 'e': 1.7496710618403741e-06}",20,8,24.898182451792596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.6, 'e': 1.7450514702931163e-06}",25,9,25.277429255325593,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.6, 'e': 1.740450150026803e-06}",30,14,33.248494454585156,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.6, 'e': 1.7358670048135592e-06}",20,10,21.863111320400343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.6, 'e': 1.7313019390581717e-06}",20,6,25.02153261072663,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.6, 'e': 1.7267548577931036e-06}",25,15,21.171683067647923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
